businessCategory,carLicense,cn,departmentNumber,description,destinationIndicator,displayName,distinguishedName,employeeNumber,employeeType,facsimileTelephoneNumber,givenName,homePhone,homePostalAddress,initials,internationaliSDNNumber,l,mail,manager,mobile,o,ou,pager,physicalDeliveryOfficeName,postOfficeBox,postalAddress,postalCode,preferredDeliveryMethod,preferredLanguage,registeredAddress,roomNumber,secretary,seeAlso,sn,st,street,telephoneNumber,teletexTerminalIdentifier,telexNumber,title,uid,objectClass,memberOf,objectSid,objectguid,sAMAccountName,primaryGroupID,primaryGroupDN,accountFlags,department,msNPCallingStationID,msRADIUSFramedRoute,msNPAllowDialin,msRADIUSCallbackNumber,msRADIUSFramedIPAddress,mailNickname,homeMDB,msExchHideFromAddressLists,msRTCSIP-UserEnabled,SipAddress,RegistrarPool,LyncPinSet,LyncPinLockedOut,pwdLastSet,msDS-PrincipalName,userPrincipalName,lastLogonTimestamp
,,Abigail.Leal,,,,"Abigail, Leal (Contractor)","CN=Abigail.Leal,OU=NA,DC=abc,DC=local",15431541,,,Abigail,,,,,,,,,,,,,,,,,,,,,,Leal,,,,,,Contractor - IT Project Mgmt Office,,top,,S-1-5-21-1622704856-2119577735-116698500-1229,{0ad446e9-146d-4ad0-a3a1-64c2cc2a38dd},Abigail.Leal,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Abigail.Leal,,
,,Adalberto.Osman,,,,Adalberto  Osman,"CN=Adalberto.Osman,OU=Usa,OU=NA,DC=abc,DC=local",744320,,,Adalberto,,,,,,aosman@abccorp.com,,,,,,,,,,,,,,,,Osman,"Charlotte, NC",,,,,Director of Sales,,top,,S-1-5-21-1622704856-2119577735-116698500-1130,{5b3fabc5-63ed-4eb5-adbc-03a6749d241b},Adalberto.Osman,513,,Normal User Account,Sales,,,Not Set,,,,,,,,,,,0,ABC\Adalberto.Osman,,
,,Adaline.Beckford,,,,"Adaline, Beckford (Contractor)","CN=Adaline.Beckford,OU=Usa,OU=NA,DC=abc,DC=local",15434062,,,Adaline,,,,,,,,,,,,,,,,,,,,,,Beckford,,,,,,,,top,,S-1-5-21-1622704856-2119577735-116698500-1245,{ed1b89db-0c78-4bc0-b022-8afa0b12bd36},Adaline.Beckford,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Adaline.Beckford,,
,,Agripina.Rady,,,,Agripina M Rady,"CN=Agripina.Rady,OU=Usa,OU=NA,DC=abc,DC=local",109544,,,Agripina,,,,,,arady@abccorp.com,,,,,,,,,,,,,,,,Rady,"Phoenix, AZ",,,,,A2 Oreo Reels 32 BLDG,,top,,S-1-5-21-1622704856-2119577735-116698500-1138,{fbec3e72-1228-4737-baed-5b21228029db},Agripina.Rady,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,1.32096E+17,ABC\Agripina.Rady,,
,,Alix.Mayle,I,,,Alix B Mayle,"CN=Alix.Mayle,OU=Usa,OU=NA,DC=abc,DC=local",598543,,,Alix,,,,,,guillermo.fernandez@sailpoint.com,,,,,,,,,,,,,,,,Mayle,"Los Angeles, CA",,,,,Operations Lead - NFLD,,top,"CN=Niagara Falls,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1172,{315f979d-6b53-4d44-806f-455ac59a429f},Alix.Mayle,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,1.32727E+17,ABC\Alix.Mayle,Alix.Mayle@abc.local,1.32727E+17
,,Angelika.Bradberry,I,,,Angelika N Bradberry,"CN=Angelika.Bradberry,OU=EMEA,DC=abc,DC=local",441780,,,Angelika,,,,,,abradberry@abccorp.com,,,,,,,,,,,,,,,,Bradberry,"Atlanta, GA",,,,,Specialist - NFLD,,top,,S-1-5-21-1622704856-2119577735-116698500-1160,{d662b2e6-1f97-4cd7-a99f-396a50cd44a2},Angelika.Bradberry,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,0,ABC\Angelika.Bradberry,,
,,Ann.Huffaker,QA,,,Ann S Huffaker,"CN=Ann.Huffaker,OU=Usa,OU=NA,DC=abc,DC=local",517449,,,Ann,,,,,,ahuffaker@abccorp.com,,,,,,,,,,,,,,,,Huffaker,"Orlando, FL",,,,,Technician III,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1157,{72a45eb8-c7b1-4067-9654-71407e664dea},Ann.Huffaker,513,,Normal User Account,QA - Tremonton,,,Not Set,,,,,,,,,,,0,ABC\Ann.Huffaker,,
,,Annabel.Harger,I,,,Annie E Harger,"CN=Annabel.Harger,OU=Usa,OU=NA,DC=abc,DC=local",598980,,,Annabel,,,,,,aharger@abccorp.com,,,,,,,,,,,,,,,,Harger,"Oklahoma City, OK",,,,,Specialist - TR,,top,,S-1-5-21-1622704856-2119577735-116698500-1156,{b84bf576-4250-46b9-b2ab-d20ee0637de4},Annabel.Harger,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,0,ABC\Annabel.Harger,,
,,Arletha.Perdue,H,,,Arletha A Perdue,"CN=Arletha.Perdue,OU=Usa,OU=NA,DC=abc,DC=local",879936,,,Arletha,,,,,,aperdue@abccorp.com,,,,,,,,,,,,,,,,Perdue,"Nashville, TN",,,,,Specialist - NFLD,,top,,S-1-5-21-1622704856-2119577735-116698500-1144,{911a6876-6dfd-40ca-8c01-ab811eef1411},Arletha.Perdue,513,,Normal User Account,H Shift,,,Not Set,,,,,,,,,,,0,ABC\Arletha.Perdue,,
,,Aurea.Tobey,H,,,"Aurea, Tobey","CN=Aurea.Tobey,OU=Usa,OU=NA,DC=abc,DC=local",399676,,,Aurea,,,,,,atobey@abccorp.com,,,,,,,,,,,,,,,,Tobey,"Portland, OR",,,,,Operator,,top,,S-1-5-21-1622704856-2119577735-116698500-1198,{4e10477d-316c-40fa-afd0-6ea8303bbd24},Aurea.Tobey,513,,Normal User Account,H Shift,,,Not Set,,,,,,,,,,,1.32554E+17,ABC\Aurea.Tobey,,
,,Bailey.Borrelli,,,,"Bailey, Borrelli (Contractor)","CN=Bailey.Borrelli,OU=Usa,OU=NA,DC=abc,DC=local",15431738,,,Bailey,,,,,,,,,,,,,,,,,,,,,,Borrelli,,,,,,Contractor,,top,,S-1-5-21-1622704856-2119577735-116698500-1243,{aae35d76-20e4-459d-9658-d921bc0f1175},Bailey.Borrelli,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Bailey.Borrelli,,
,,Benito.Coppock,,,,"Benito, Coppock (Contractor)","CN=Benito.Coppock,OU=Usa,OU=NA,DC=abc,DC=local",15432496,,,Benito,,,,,,,,,,,,,,,,,,,,,,Coppock,,,,,,Contractor - LTI,,top,,S-1-5-21-1622704856-2119577735-116698500-1223,{4fce95c7-733b-4661-8ee1-b5f1c6fc032d},Benito.Coppock,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Benito.Coppock,,
,,Berna.Cubbage,,,,"Berna, Cubbage (Contractor)","CN=Berna.Cubbage,OU=Usa,OU=NA,DC=abc,DC=local",15435665,,,Berna,,,,,,,,,,,,,,,,,,,,,,Cubbage,,,,,,Jonesboro,,top,,S-1-5-21-1622704856-2119577735-116698500-1216,{12dbb959-f84f-49e5-8472-5be53bbe970d},Berna.Cubbage,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Berna.Cubbage,,
,,Brady.Buonocore,,,,"Brady, Buonocore (Contractor)","CN=Brady.Buonocore,OU=Usa,OU=NA,DC=abc,DC=local",15431351,,,Brady,,,,,,,,,,,,,,,,,,,,,,Buonocore,,,,,,Jonesboro,,top,,S-1-5-21-1622704856-2119577735-116698500-1242,{a2f72654-a580-439b-ac83-bb5350093f7d},Brady.Buonocore,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Brady.Buonocore,,
,,Britteny.Lalor,,,,Britteny N Lalor,"CN=Britteny.Lalor,OU=Usa,OU=NA,DC=abc,DC=local",474406,,,Britteny,,,,,,blalor@abccorp.com,,,,,,,,,,,,,,,,Lalor,"Los Angeles, CA",,,,,A1 Head BBM 32 BLDG,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1154,{ae19dda1-7bbe-428e-9a34-a2c20eb7f3ba},Britteny.Lalor,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Britteny.Lalor,,
,,Candace.Boden,I,,,Candace N Boden,"CN=Candace.Boden,OU=Usa,OU=NA,DC=abc,DC=local",,,,Candace,,,,,,cboden@abccorp.com,,,,,,,,,,,,,,,,Boden,"Charlotte, NC",,,,,Flexible Packaging I,,top,,S-1-5-21-1622704856-2119577735-116698500-1139,{d8052a2a-e82f-4a2a-9d28-ec2a1a9aa916},Candace.Boden,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,0,ABC\Candace.Boden,,
,,Carey.Admire,MAINT,,,Carey C Admire,"CN=Carey.Admire,OU=Usa,OU=NA,DC=abc,DC=local",749063,,,Carey,,,,,,cadmire@abccorp.com,,,,,,,,,,,,,,,,Admire,"Portland, OR",,,,,Maint Materials Buyer,,top,,S-1-5-21-1622704856-2119577735-116698500-1189,{794f7c74-b9c8-465b-a3af-1a15ea33b7e1},Carey.Admire,513,,Normal User Account,Maintenance,,,Not Set,,,,,,,,,,,0,ABC\Carey.Admire,,
